Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:30:48.000117]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:48.000746]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:49.000849]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:51.000364]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:53.000941]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:56.000845]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:30:59.000795]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:31:02.000718]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:31:05.000320]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:31:09.000410]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:31:09.000546]0;0;0;0;0;0;Torque;0;
