Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:17:03.000164]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:03.000354]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:07.000551]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:09.000166]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:22.000347]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:24.000006]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:52.000012]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:52.000565]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:54.000110]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:54.000452]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:54.000635]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:55.000556]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:17:57.000540]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:00.000590]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:03.000561]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:05.000039]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:05.000207]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:05.000536]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:06.000396]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:07.000003]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:07.000998]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:09.000343]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:10.000972]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:11.000498]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:21.000485]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:18:22.000156]0;0;0;0;0;0;Torque;0;
