Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 17:10:30.000860]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:33.000665]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:35.000442]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:36.000787]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:37.000968]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:39.000763]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:40.000818]0;0;0;0;0;0;Torque;0;
[2023-12-19 17:10:46.000434]0;0;0;0;0;0;Torque;0;
