Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:45:12.000508]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:45:12.000563]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:45:14.000777]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:45:14.000952]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:45:19.000829]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:45:20.000134]0;0;0;0;0;0;;0;
[2023-12-19 16:45:24.000825]0;0;0;0;0;0;;0;
[2023-12-19 16:45:25.000580]0;0;0;0;0;0;;0;
[2023-12-19 16:45:30.000749]0;0;0;0;0;0;;0;
[2023-12-19 16:45:31.000350]0;0;0;0;0;0;;0;
