Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-20 11:50:42.000804];0;0;0;0;0;0;Torque;0;
[2023-12-20 11:50:56.000462];0;0;0;0;0;0;Torque;0;
