Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 15:44:37.000279]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:44:37.000450]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:44:38.000532]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:44:39.000450]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:44:42.000759]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:44:42.000855]0;0;0;0;0;0;;0;
[2023-12-19 15:44:43.000560]0;0;0;0;0;0;;0;
[2023-12-19 15:44:44.000460]0;0;0;0;0;0;;0;
[2023-12-19 15:44:50.000713]0;0;0;0;0;0;;0;
[2023-12-19 15:44:54.000140]0;0;0;0;0;0;;0;
[2023-12-19 15:44:58.000480]0;0;0;0;0;0;;0;
[2023-12-19 15:44:58.000628]0;0;0;0;0;0;;0;
[2023-12-19 15:44:58.000850]0;0;0;0;0;0;;0;
[2023-12-19 15:45:03.000046]0;0;0;0;0;0;;0;
[2023-12-19 15:45:03.000223]0;0;0;0;0;0;;0;
[2023-12-19 15:45:04.000125]0;0;0;0;0;0;;0;
[2023-12-19 15:45:16.000312]0;0;0;0;0;0;;0;
[2023-12-19 15:45:16.000615]0;0;0;0;0;0;;0;
[2023-12-19 15:45:18.000832]0;0;0;0;0;0;;0;
[2023-12-19 15:45:19.000224]0;0;0;0;0;0;;0;
[2023-12-19 15:45:19.000386]0;0;0;0;0;0;;0;
[2023-12-19 15:45:20.000115]0;0;0;0;0;0;;0;
[2023-12-19 15:45:20.000284]0;0;0;0;0;0;;0;
[2023-12-19 15:45:20.000992]0;0;0;0;0;0;;0;
[2023-12-19 15:45:21.000125]0;0;0;0;0;0;;0;
[2023-12-19 15:45:23.000005]0;0;0;0;0;0;;0;
[2023-12-19 15:45:23.000844]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:45:23.000971]0;0;0;0;0;0;;0;
[2023-12-19 15:45:24.000200]0;0;0;0;0;0;;0;
[2023-12-19 15:45:25.000916]0;0;0;0;0;0;;0;
[2023-12-19 15:45:26.000106]0;0;0;0;0;0;;0;
[2023-12-19 15:45:27.000458]0;0;0;0;0;0;;0;
[2023-12-19 15:45:27.000722]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:45:28.000521]0;0;0;0;0;0;;0;
[2023-12-19 15:45:29.000393]0;0;0;0;0;0;;0;
[2023-12-19 15:45:30.000989]0;0;0;0;0;0;;0;
[2023-12-19 15:45:31.000290]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:45:31.000649]0;0;0;0;0;0;;0;
[2023-12-19 15:45:31.000947]0;0;0;0;0;0;;0;
[2023-12-19 15:45:32.000900]0;0;0;0;0;0;;0;
[2023-12-19 15:45:34.000469]0;0;0;0;0;0;;0;
[2023-12-19 15:45:35.000599]0;0;0;0;0;0;;0;
[2023-12-19 15:45:35.000809]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:45:37.000639]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:45:37.000930]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:45:39.000536]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:45:40.000224]0;0;0;0;0;0;Torque;0;
