Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:48:24.000719]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:24.000861]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:25.000166]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:25.000914]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:26.000995]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:29.000007]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:30.000284]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:30.000654]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:32.000900]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:34.000385]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:35.000984]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:36.000223]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:37.000405]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:39.000841]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:48:49.000731]0;0;0;0;0;0;Torque;0;
