Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 19:46:06.000190]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:46:06.000782]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:46:17.000319]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:46:17.000936]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:46:25.000574]0;0;0;0;0;0;Speed;0;
[2023-12-19 19:46:26.000160]0;0;0;0;0;0;;0;
[2023-12-19 19:46:26.000965]0;0;0;0;0;0;;0;
[2023-12-19 19:46:27.000888]0;0;0;0;0;0;;0;
[2023-12-19 19:46:28.000167]0;0;0;0;0;0;;0;
[2023-12-19 19:46:40.000193]0;0;0;0;0;0;;0;
[2023-12-19 19:47:34.000289]0;0;0;0;0;0;0;0;
[2023-12-19 19:47:44.000863]0;0;100;0;0;0;0;0;
[2023-12-19 19:48:16.000062]0;0;100;0;100;100;0;0;
[2023-12-19 19:48:46.000989]0;0;100;0;100;100;0;0;
[2023-12-19 19:48:53.000213]0;0;100;100;100;100;0;0;
