Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-20 09:14:51.000621];0;0;0;0;0;0;Speed;0;
[2023-12-20 09:15:21.000337];0;0;0;0;0;0;Torque;0;
[2023-12-20 09:15:27.000072];0;0;0;0;0;0;Torque;0;
