Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:59:53.000028]0;0;0;0;0;0;;0;
[2023-12-19 17:00:03.000806]0;0;0;0;0;0;;0;
[2023-12-19 17:00:06.000017]0;0;0;0;0;0;;0;
[2023-12-19 17:00:10.000202]0;0;0;0;0;0;;0;
[2023-12-19 17:00:10.000213]0;0;0;0;0;0;;0;
[2023-12-19 17:00:12.000206]0;0;0;0;0;0;;0;
[2023-12-19 17:00:12.000235]0;0;0;0;0;0;;0;
[2023-12-19 17:00:12.000570]0;0;0;0;0;0;;0;
[2023-12-19 17:00:13.000862]0;0;0;0;0;0;;0;
[2023-12-19 17:00:14.000381]0;0;0;0;0;0;;0;
[2023-12-19 17:00:14.000487]0;0;0;0;0;0;;0;
