Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 19:51:44.000296]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:51:44.000346]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:51:45.000058]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:51:45.000436]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:51:47.000464]0;0;0;0;0;0;Speed;0;
[2023-12-19 19:51:47.000556]0;0;0;0;0;0;;0;
[2023-12-19 19:51:48.000021]0;0;0;0;0;0;;0;
[2023-12-19 19:51:48.000380]0;0;0;0;0;0;;0;
[2023-12-19 19:51:48.000670]0;0;0;0;0;0;;0;
