Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:37:04.000275]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:04.000854]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:07.000018]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:21.000760]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:28.000263]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:29.000356]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:30.000900]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:33.000504]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:39.000136]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:37:44.000000]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:38:04.000801]0;0;0;0;0;0;Torque;0;
