Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 15:42:59.000039]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:42:59.000741]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:07.000071]0;0;0;0;0;0;Speed;0;
[2023-12-19 15:43:07.000951]0;0;0;0;0;0;;0;
[2023-12-19 15:43:08.000639]0;0;0;0;0;0;;0;
[2023-12-19 15:43:09.000420]0;0;0;0;0;0;;0;
[2023-12-19 15:43:09.000562]0;0;0;0;0;0;;0;
[2023-12-19 15:43:23.000685]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:25.000964]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:39.000474]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:40.000567]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:44.000890]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:45.000102]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:45.000306]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:43:47.000552]0;0;0;0;0;0;;0;
[2023-12-19 15:43:47.000727]0;0;0;0;0;0;;0;
[2023-12-19 15:43:47.000905]0;0;0;0;0;0;;0;
[2023-12-19 15:43:48.000984]0;0;0;0;0;0;;0;
[2023-12-19 15:43:49.000123]0;0;0;0;0;0;;0;
