Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 15:51:13.000333]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:13.000656]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:14.000228]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:16.000437]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:17.000740]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:17.000909]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:18.000090]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:18.000249]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:18.000426]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:24.000051]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:24.000743]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:26.000761]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:51:29.000443]0;0;0;0;0;0;Torque;0;
