Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 19:42:06.000856]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:08.000953]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:20.000160]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:22.000403]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:22.000901]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:41.000595]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:42.000393]0;0;0;0;0;0;Speed;0;
[2023-12-19 19:42:44.000764]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:45.000056]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:42:45.000746]0;0;0;0;0;0;Speed;0;
[2023-12-19 19:42:46.000551]0;0;0;0;0;0;;0;
[2023-12-19 19:42:47.000231]0;0;0;0;0;0;;0;
[2023-12-19 19:42:48.000110]0;0;0;0;0;0;;0;
