Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 19:53:18.000953]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:53:18.000968]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:53:19.000305]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:53:19.000559]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:53:19.000849]0;0;0;0;0;0;Torque;0;
[2023-12-19 19:53:21.000749]0;0;0;0;0;0;;0;
[2023-12-19 19:53:21.000754]0;0;0;0;0;0;;0;
[2023-12-19 19:53:22.000560]0;0;0;0;0;0;;0;
[2023-12-19 19:53:23.000773]0;0;0;0;0;0;;0;
[2023-12-19 19:53:24.000061]0;0;0;0;0;0;;0;
