Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 15:32:01.000290]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:32:02.000975]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:32:07.000882]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:32:09.000272]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:32:09.000462]0;0;0;0;0;0;Torque;0;
[2023-12-19 15:32:13.000550]0;0;0;0;0;0;;0;
[2023-12-19 15:32:13.000731]0;0;0;0;0;0;;0;
[2023-12-19 15:32:19.000384]0;0;0;0;0;0;;0;
[2023-12-19 15:32:19.000489]0;0;0;0;0;0;;0;
